代碼,股本,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
1101,755.12,33.84,1.08,38.65,-9.88,10.29,,,,2024/08,
1102,354.66,14.01,0.94,4.08,0.17,-6.13,,,,2024/08,
1110,57.20,94.17,1.42,104.24,19.34,34.64,,,,2024/08,
1210,89.48,11.44,1.89,-11.76,6.13,-2.66,,,,2024/08,
1216,568.20,26.67,3.99,7.1,3.66,-3.75,,,,2024/08,
1217,49.45,19.68,0.82,5.71,34.28,114.89,,,,2024/08,
1229,171.04,23.03,2.05,2.99,-3.22,4.81,,,,2024/08,
1301,636.57,62.14,0.97,-7.78,-8.86,-55.56,,,,2024/08,
1303,793.08,48.35,0.97,-4.8,-0.3,-5.18,,,,2024/08,
1304,118.88,0.0,0.75,-15.88,-6.58,-66.19,,,,2024/08,
1305,58.11,58.0,1.07,-53.31,-35.47,-81.39,,,,2024/08,
1307,39.78,13.94,1.66,6.17,1.61,105.62,,,,2024/08,
1308,59.37,0.0,0.85,-30.92,-17.71,-351.61,,,,2024/08,
1309,39.76,0.0,1.34,35.04,16.35,-59.89,,,,2024/08,
1310,52.79,0.0,0.97,27.46,0.4,89.58,,,,2024/08,
1312,110.66,0.0,0.45,17.28,-6.17,7.35,,,,2024/08,
1313,136.77,0.0,0.55,-13.17,-6.98,-121.31,,,,2024/08,
1314,378.49,27.88,0.42,17.34,16.3,124.37,,,,2024/08,
1316,30.06,0.0,1.35,69.96,-32.48,232.3,,,,2024/08,
1319,59.15,15.88,2.49,0.69,2.06,80.39,,,,2024/09,
1326,586.12,23.03,0.78,1.01,-2.16,562.32,,,,2024/08,
1402,535.29,19.63,0.87,6.01,4.45,27.48,,,,2024/08,
1409,161.84,19.7,0.71,2.78,-2.41,137.16,,,,2024/08,
1416,18.53,14.79,0.66,18.33,-14.09,1941.19,,,,2024/08,
1436,12.47,8.62,3.57,2367.37,13.82,1215.03,,9月營收15.24億元,,2024/09,
1438,9.12,0.0,3.06,-100.0,0.0,-203.61,,,,2024/08,
1440,165.68,10.8,0.9,3.15,-0.98,76.09,,,,2024/08,
1442,36.62,8.62,3.42,704.0,-15.14,525.11,,,,2024/08,
1444,99.56,44.71,0.84,-7.02,9.45,324.28,,,,2024/08,
1447,91.01,0.0,0.78,53.84,25.26,219.89,,,,2024/08,
1449,10.23,15.43,0.88,-33.4,8.29,105.66,,,,2024/08,
1453,10.99,25.07,1.32,101.75,0.0,130.29,,,,2024/08,
1454,12.98,70.0,1.4,-0.09,-6.59,67.54,,,,2024/09,
1455,53.17,69.38,0.91,3.69,-14.37,171.68,,,,2024/09,
1456,9.37,0.0,1.18,122.43,268.42,-232.6,,,,2024/08,
1463,17.33,46.27,1.76,-28.42,10.43,-80.39,,,,2024/08,
1477,24.67,20.56,6.15,17.53,-19.92,13.03,,9月營收32.91億元,,2024/09,
1503,52.10,40.59,2.9,-10.78,-2.34,34.25,,,,2024/08,
1504,213.88,21.95,1.39,-10.91,-4.85,-23.74,,,,2024/08,
1513,50.31,24.49,4.65,18.69,5.29,3036.01,,,,2024/08,
1514,26.75,35.53,6.02,-4.48,-6.62,37.34,,,,2024/08,
1519,28.72,52.7,28.55,65.17,-20.78,99.89,,,,2024/08,
1522,31.29,10.77,2.2,-14.31,-7.8,143.66,,,,2024/08,
1524,16.53,11.68,2.13,7.2,15.82,119.95,,,,2024/08,
1527,13.86,13.87,1.4,9.87,-5.33,60.39,,,,2024/08,
1528,19.13,0.0,1.19,-9.21,2.03,-263.28,,,,2024/08,
1529,15.51,146.75,2.54,22.91,61.36,-77.87,,,,2024/08,
1530,9.66,13.78,1.01,-0.11,-26.16,126.01,,,,2024/08,
1532,40.39,7.06,1.02,-31.15,3.01,278.04,,,,2024/08,
1536,27.95,100.17,1.88,-5.35,0.26,-53.99,,,,2024/08,
1539,6.54,17.95,1.21,-7.73,26.15,194.07,,,,2024/08,
1540,8.55,21.63,2.64,23.66,42.86,115.15,,,,2024/08,
1560,14.58,49.92,7.55,12.04,8.85,30.66,,9月營收6.38億元,,2024/09,
1569,12.14,0.0,1.56,-12.04,10.48,39.43,,,,2024/08,
1570,5.15,28.68,1.65,214.21,-41.38,209.53,,,,2024/08,
1582,14.43,13.72,2.08,-8.12,-11.44,203.99,,,,2024/08,
1584,19.25,11.26,2.05,21.48,0.24,94.9,,10/4申報轉讓2000.00張,,2024/08,
1597,8.93,118.05,3.6,34.4,30.35,-32.36,,,,2024/08,
1603,19.17,12.49,0.9,10.7,-42.85,5.45,,,,2024/08,
1605,403.13,26.63,0.97,-13.52,2.39,-13.81,,,,2024/09,
1608,63.28,15.88,1.83,39.01,0.37,-1.9,,,,2024/08,
1609,77.37,21.55,2.42,15.62,0.95,-44.31,,,,2024/08,
1611,32.27,30.82,1.26,-18.89,-17.19,34.89,,9月營收0.86億元,,2024/09,
1612,31.61,14.34,1.46,-25.59,-9.53,41.68,,,,2024/08,
1616,19.41,26.57,2.37,7.6,0.24,-80.18,,,,2024/08,
1617,16.88,107.75,1.51,14.49,-6.65,27.98,,,,2024/08,
1618,19.27,15.85,1.47,-30.06,-15.74,127.96,,,,2024/08,
1702,29.41,11.64,1.49,0.6,7.62,61.43,,,,2024/08,
1708,24.90,14.66,1.51,24.45,1.11,314.26,,,,2024/09,
1709,47.70,17.39,1.26,32.88,71.79,119.47,,,,2024/08,
1710,88.57,0.0,1.36,18.18,-10.18,-129.13,,,,2024/08,
1711,54.78,75.14,1.71,-3.73,-3.93,207.45,,,,2024/08,
1714,101.68,16.29,0.72,13.84,14.11,-8.21,,,,2024/08,
1717,117.83,20.71,1.49,-0.12,5.39,86.89,,,,2024/08,
1718,168.59,0.0,0.53,20.59,6.77,100.31,,,,2024/08,
1720,17.87,13.66,2.0,1.13,3.29,7.35,,,,2024/08,
