name,id,cg
台泥,1101,"'水泥','水泥成品','水泥熟料'"
亞泥,1102,"'水泥','水泥熟料','風力發電','風力發"
嘉泥,1103, '貨櫃運輸集散及倉儲
環泥,1104,"'水泥','水泥成品','預拌混凝土'"
幸福,1108,"'水泥','水泥成品','水泥熟料'"
信大,1109,"'水泥','水泥成品','水泥熟料'"
東泥,1110,"'水泥','水泥熟料','水泥生料'"
味全,1201,"'食品','乳製品','冷凍、罐頭、脫水、"
味王,1203,"'食品','冷凍、罐頭、脫水、醃漬食品'"
大成,1210,"'食品','冷凍、罐頭、脫水、醃漬食品','食品"
大飲,1213,
卜蜂,1215,"'食品','冷凍、罐頭、脫水、醃漬食品','食品"
統一,1216,"'食品','乳製品','冷凍、罐頭、脫水、"
愛之味,1217,"'食品','冷凍、罐頭、脫水、醃漬食品'"
泰山,1218,"'食品','冷凍、罐頭、脫水、醃漬食品','食品"
福壽,1219,"'食品','加工食品'"
台榮,1220,"'貿易百貨','貿易商、代理商、經銷商'"
福懋油,1225,"'食品','加工食品','原物料'"
佳格,1227,"'食品','營養食品'"
聯華,1229,"'雲端運算','系統整合','食品','食"
聯華食,1231,"'食品','冷凍、罐頭、脫水、醃漬食品'"
大統益,1232,"'食品','加工食品','原物料'"
天仁,1233,"'食品','原物料','餐飲連鎖'"
黑松,1234,"'食品','冷凍、罐頭、脫水、醃漬食品'"
興泰,1235,"'食品','原物料'"
宏亞,1236,"'食品','乳製品'"
茂生農經,1240,"'其他','農業科技業'"
鮮活果汁-KY,1256,"'食品','加工食品'"
安心,1259,"'食品','餐飲連鎖'"
德麥,1264,"'食品','原物料'"
漢來美食,1268,"'食品','餐飲連鎖'"
台塑,1301,"'塑化','人造纖維','石化及"
南亞,1303,"'PCB','玻璃纖維_玻纖布'"
台聚,1304,"'塑化','工業用合成樹脂'"
華夏,1305,'塑化'
三芳,1307,'塑化'
亞聚,1308,"'塑化','工業用合成樹脂'"
台達化,1309,'塑化'
台苯,1310,'塑化'
國喬,1312,'塑化'
聯成,1313,"'塑化','塑化劑(可塑劑)'"
中石化,1314,"'塑化','PTA(對苯二甲酸)觸"
達新,1315,"'塑化','紡織'"
上曜,1316,'塑化'
東陽,1319,"'汽車','汽車:保險桿','汽車:引擎蓋','汽車"
大洋,1321,'塑化'
永裕,1323,'塑化'
地球,1324,'塑化'
恆大,1325,'塑化'
台化,1326,"'塑化','PTA(對苯二甲酸)觸"
台翰,1336,"'面板','塑膠框','通信網路',"
再生-KY,1337,'塑化'
廣華-KY,1338,'汽車'
昭輝,1339,"'汽車','汽車:保險桿','塑化','石化"
勝悅-KY,1340,'塑化'
八貫,1342,"'其他','航太週邊'"
遠東新,1402," '工程承攬','建設"
新纖,1409,"'塑化','人造纖維','紡織'"
南染,1410,"'半導體','IC封裝測試','塑化'"
宏洲,1413,"'紡織','尼龍纖維、聚酯纖維、"
東和,1414,"'紡織','紡紗'"
廣豐,1416,"'其他',  '"
嘉裕,1417,'紡織'
東華,1418,"'紡織','尼龍纖維、聚酯纖維、"
新紡,1419,"'紡織','染整','織布','貿易百貨"
利華,1423,"'紡織','天然纖維產品(例如純棉、純羊毛等)'"
大魯閣,1432,"'娛樂服務業','紡織'"
福懋,1434,"'半導體','IC封裝測試','IC模"
中福,1435,"'貿易百貨','零售通路'"
華友聯,1436,'建商'
勤益控,1437,"'半導體','IC封裝測試'"
三地開發,1438,'建商'
雋揚,1439,"'紡織','天然纖維產品(例如純棉、純羊毛等)'"
南紡,1440,"'紡織','尼龍纖維、聚酯纖維、"
大東,1441,"'紡織','紡紗'"
名軒,1442,'建商'
立益,1443,
力麗,1444,"'紡織','尼龍纖維、聚酯纖維、"
大宇,1445,"'紡織','紡紗','織布'"
宏和,1446,"'紡織','織"
力鵬,1447,"'紡織','尼龍纖維、聚酯纖維、"
佳和,1449,"'紡織','染整','紡紗','織"
年興,1451,"'紡織','染"
宏益,1452,"'紡織','尼龍纖維、聚酯纖維、"
大將,1453," '建設業','紡織','紡織"
台富,1454,"'紡織','紡"
集盛,1455,"'紡織','尼龍纖維、聚酯纖維、"
怡華,1456,"'紡織','尼龍纖維、聚酯纖維、"
宜進,1457,"'紡織','尼龍纖維、聚酯纖維、"
聯發,1459,"'紡織','尼龍纖維、聚酯纖維、"
宏遠,1460,"'紡織','染"
強盛,1463,"'紡織','染整'"
得力,1464,"'紡織','尼龍纖維、聚酯纖維、"
偉全,1465,"'紡織','尼龍纖維、聚酯纖維、"
聚隆,1466,"'紡織','尼龍纖維、聚酯纖維、"
南緯,1467,"'紡織','染"
昶和,1468,"'紡織','尼龍纖維、聚酯纖維、"
大統新創,1470,"'紡織','染整'"
首利,1471,"'PC','機殼'"
三洋實業,1472,"'紡織','尼龍纖維、聚酯纖維、"
台南,1473,'紡織'
弘裕,1474,"'紡織','織布'"
業旺,1475,"'紡織','染整'"
儒鴻,1476,"'紡織','織"
聚陽,1477,'紡織'
士電,1503," '機電工程','汽車','汽"
東元,1504,"'AI','移動控制',  "
正道,1506,"'汽車',  '電機'"
瑞利,1512,"'汽車',  '電機'"
中興電,1513,'太陽能產業'
亞力,1514,"'汽電共生','汽電共生:配電系統','電機', "
力山,1515,"'電機','手工具機'"
川飛,1516,
利奇,1517,"'電機','車用機械傳動設備及零配件'"
華城,1519,"'智慧電網','配電管理設施'"
大億,1521,"'汽車','汽車:車燈'"
堤維西,1522,"'汽車','汽車:車燈'"
耿鼎,1524,"'汽車','汽車:鈑金'"
江申,1525,'汽車'
日馳,1526,"'電機','傳動元件'"
鑽全,1527,"'電機','手工具機'"
恩德,1528,"'PCB','生產製程及檢測設備'"
樂事綠能,1529,'太陽能產業'
亞崴,1530,"'電機','金屬加工用機械'"
高林股,1531,"'電機','專用機械(如紡織成衣生產用機械"
勤美,1532,'娛樂服務業'
車王電,1533,"'汽車','汽車:ADAS',  '電動"
中宇,1535,"'電機','機電系統工程'"
和大,1536,"'汽車',  '電動車輛產業','電動車"
廣隆,1537,"'電動車輛產業','大功率鋰電池芯_模組、"
正峰,1538,"'LED','燈具_應用'"
巨庭,1539,"'電機','手工具機'"
喬福,1540,"'電機','金屬加工用機械'"
錩泰,1541,"'電機','手工具機'"
伸興,1558,"'電機','專用機械(如紡織成衣生產用機械"
中砂,1560,"'電機','五金元件及零配件'"
精華,1565,"'醫療器材','隱型眼鏡、光學鏡片'"
倉佑,1568,"'汽車',  '電機'"
力肯,1570,"'電機','手工具機'"
新麥,1580,"'電機','專用機械(如紡織成衣生產用機械"
信錦,1582,"'PC','機構樞紐','電"
程泰,1583,"'電機','金屬加工用機械'"
精剛,1584,"'其他','航太週邊'"
和勤,1586,"'電機','機械設備之沖壓零組件','電"
吉茂,1587,'汽車'
永冠-KY,1589,"'能源元件','原材料','電機'"
亞德客-KY,1590,"'電機','傳動元件','金屬"
駿吉-KY,1591,"'電機','五金元件及零配件'"
祺驊,1593,"'運動科技','運動科技:裝置_器材零組件','醫療器"
川寶,1595,"'半導體','生產製程及檢測設備','印刷電路"
直得,1597,"'電機','傳動元件','電控"
岱宇,1598,"'其他','運動科技','運動科技:"
宏佳騰,1599,"'休閒車業','電動車輛產業'"
華電,1603,"'其他',  '"
聲寶,1604,"'其他','面板','平面顯示"
華新,1605,'太陽能產業'
華榮,1608,"'其他','通信網路'"
大亞,1609,"'其他','太陽能產業'"
中電,1611,"'LED','燈具_應用'"
宏泰,1612,"'其他','PCB','印刷電路"
三洋電,1614,"'其他','平面"
大山,1615,"'其他','智慧電網'"
億泰,1616,
榮星,1617,"'其他','通信網路'"
合機,1618,"'其他','智慧電網'"
艾美特-KY,1626,
中化,1701,"'製藥','中、西藥製劑'"
南僑,1702,"'食品','加工食品','原物料','食"
葡萄王,1707,"'食品生技','保健食品代理銷售及通路'"
東鹼,1708,"'其他','塑化','石化及"
和益,1709,"'塑化','界面活性劑'"
東聯,1710,"'其他','紡織','石化原料"
永光,1711,"'半導體','化學品','太陽能產業','太"
興農,1712,"'塑化','石化及"
國化,1713,"'紡織','化學助劑'"
和桐,1714,"'塑化','界面活性劑'"
長興,1717,"'半導體','化學品','PCB'"
中纖,1718,
生達,1720,"'製藥','中、西藥製劑','食品生技','食"
三晃,1721,"'塑化','工業用合成樹脂'"
台肥,1722,"'其他','塑化','石化及"
中碳,1723,"'塑化','石化上游原料及相關鑽探"
元禎,1725,"'塑化','PTA(對苯二甲酸)觸"
永記,1726,
