time	stockId	中文名稱
20240724_1045	9946	三發地產
20240724_1045	9945	潤泰新
20240724_1045	9921	巨大
20240724_1045	9906	欣巴巴
20240724_1045	9902	台火
20240724_1045	8940	新天地
20240724_1045	8054	安國
20240724_1045	8028	昇陽半導體
20240724_1045	6841	長佳智能
20240724_1045	6788	華景電
20240724_1045	6585	鼎基
20240724_1045	6462	神盾
20240724_1045	6215	和椿
20240724_1045	6175	立敦
20240724_1045	6133	金橋
20240724_1045	6126	信音
20240724_1045	5310	天剛
20240724_1045	5234	達興材料
20240724_1045	5213	亞昕
20240724_1045	4746	台耀
20240724_1045	4563	百德
20240724_1045	4549	桓達
20240724_1045	4526	東台
20240724_1045	4306	炎洲
20240724_1045	4128	中天
20240724_1045	3665	貿聯-KY
20240724_1045	3609	三一東林
20240724_1045	3537	堡達
20240724_1045	3438	類比科
20240724_1045	3376	新日興
20240724_1045	3339	泰谷
20240724_1045	3217	優群
20240724_1045	3211	順達
20240724_1045	3189	景碩
20240724_1045	3163	波若威
20240724_1045	3095	及成
20240724_1045	3086	華義
20240724_1045	3037	欣興
20240724_1045	3035	智原
20240724_1045	2610	華航
20240724_1045	2547	日勝生
20240724_1045	2534	宏盛
20240724_1045	2527	宏璟
20240724_1045	2520	冠德
20240724_1045	2516	新建
20240724_1045	2504	國產
20240724_1045	2467	志聖
20240724_1045	2383	台光電
20240724_1045	2368	金像電
20240724_1045	2348	海悅
20240724_1045	1805	寶徠
20240724_1045	1720	生達
20240724_1045	1560	中砂
20240724_1045	1477	聚陽
20240724_1045	9946	三發地產
20240724_1045	9945	潤泰新
20240724_1045	9921	巨大
20240724_1045	9906	欣巴巴
20240724_1045	9902	台火
20240724_1045	8940	新天地
20240724_1045	8054	安國
20240724_1045	8028	昇陽半導體
20240724_1045	6841	長佳智能
20240724_1045	6788	華景電
20240724_1045	6585	鼎基
20240724_1045	6462	神盾
20240724_1045	6215	和椿
20240724_1045	6175	立敦
20240724_1045	6133	金橋
20240724_1045	6126	信音
20240724_1045	5310	天剛
20240724_1045	5234	達興材料
20240724_1045	5213	亞昕
20240724_1045	4746	台耀
20240724_1045	4563	百德
20240724_1045	4549	桓達
20240724_1045	4526	東台
20240724_1045	4306	炎洲
20240724_1045	4128	中天
20240724_1045	3665	貿聯-KY
20240724_1045	3609	三一東林
20240724_1045	3537	堡達
20240724_1045	3438	類比科
20240724_1045	3376	新日興
20240724_1045	3339	泰谷
20240724_1045	3217	優群
20240724_1045	3211	順達
20240724_1045	3189	景碩
20240724_1045	3163	波若威
20240724_1045	3095	及成
20240724_1045	3086	華義
20240724_1045	3037	欣興
20240724_1045	3035	智原
20240724_1045	2610	華航
20240724_1045	2547	日勝生
20240724_1045	2534	宏盛
20240724_1045	2527	宏璟
20240724_1045	2520	冠德
20240724_1045	2516	新建
20240724_1045	2504	國產
20240724_1045	2467	志聖
20240724_1045	2383	台光電
20240724_1045	2368	金像電
20240724_1045	2348	海悅
20240724_1045	1805	寶徠
20240724_1045	1720	生達
20240724_1045	1560	中砂
20240724_1045	1477	聚陽
