代碼	名稱	0409	0410	0411	0413	0510	差值
2409	友達	307125	307125	307169	307747	318198	10451
2890	永豐金	277292	277292	277332	277854	287242	9388
2885	元大金	226154	226154	226188	226622	234613	7991
2891	中信金	216172	216172	216203	216610	224512	7902
2324	仁寶	187819	187819	187846	188200	194591	6391
1402	遠東新	172155	172155	172180	172504	178363	5859
1102	亞泥	155125	155125	155147	155439	160718	5279
2105	正新	127096	127096	127114	127355	132371	5016
2303	聯電	144246	144246	144266	144538	149446	4908
2353	宏碁	143727	143727	143748	144018	148909	4891
2886	兆豐金	131249	131249	131268	131516	135982	4466
1605	華新	131880	131880	131901	132177	136160	3983
2356	英業達	116724	116724	116741	116961	120934	3973
2542	興富發	75772	75772	75785	75953	79728	3775
2027	大成鋼	110175	110175	110191	110399	114148	3749
2317	鴻海	55001	55001	55010	55126	58296	3170
3702	大聯大	79180	79180	79191	79340	82034	2694
4938	和碩	79108	79108	79120	79269	81961	2692
2915	潤泰全	41687	41687	41695	41793	44471	2678
2347	聯強	78655	78655	78667	78815	81492	2677
2449	京元電子	57661	57661	57669	57778	59740	1962
1303	南亞	54413	54413	54421	54524	56374	1850
2301	光寶科	53562	53562	53570	53671	55493	1822
2809	京城銀	52403	52403	52410	52509	54292	1783
3711	日月光投控	47300	47300	47307	47396	49006	1610
1301	台塑	44967	44967	44973	45058	46589	1531
3231	緯創	44966	44966	44973	45057	46588	1531
4958	臻鼎-KY	44660	44660	44667	44751	46270	1519
3036	文曄	38463	38463	38461	38540	39805	1265
6239	力成	35799	35799	35805	35872	37102	1230
2385	群光	35841	35841	35846	35914	37134	1220
2006	東和鋼鐵	34435	34435	34440	34505	35677	1172
5522	遠雄	33817	33817	33822	33886	35036	1150
2377	微星	32189	32189	32194	32254	33350	1096
9917	中保科	19184	19184	19187	19227	20321	1094
2474	可成	32084	32084	32089	32149	33241	1092
3005	神基	28459	28459	28463	28517	29485	968
3044	健鼎	24787	24787	24790	24837	25680	843
2382	廣達	24088	24088	24091	24137	24956	819
6176	瑞儀	21930	21930	21933	21974	22727	753
6285	啟碁	21093	21093	21097	21136	21861	725
2376	技嘉	15791	15791	15794	15823	16360	537
2357	華碩	15274	15274	15276	15305	15825	520
3034	聯詠	15059	15059	15061	15089	15602	513
8046	南電	15003	15003	15005	15034	15519	485
2379	瑞昱	13409	13409	13411	13436	13892	456
1477	聚陽	11405	11405	11407	11428	11817	389
3665	貿聯-KY	7609	7609	7610	7624	7970	346
2383	台光電	7916	7916	7917	7932	8202	270
2454	聯發科	7310	7310	7311	7325	7573	248
