代碼	名稱	0409	0410	0411	0413	0510	0513	差值
2603	長榮	96254	96254	96254	96254	97376	97624.0	248.0
2303	聯電	112268	112538	113517	113517	138217	138335.0	118.0
3711	日月光投控	31384	31586	31831	31831	39723	39789.0	66.0
2454	聯發科	4609	4626	4737	4737	5169	5192.0	23.0
3034	聯詠	8213	8296	8377	8377	9938	9959.0	21.0
3293	鈊象	5479	5479	5479	5479	5840		
2404	漢唐	14101	14169	14292	14292	14819		
5483	中美晶	25929	25929	25929	25929	27023		
4938	和碩	51496	51616	51817	51817	56727		
6488	環球晶	9014	9039	9088	9088	9501		
6139	亞翔	16364	16364	16364	16364	16075		
2301	光寶科	43791	43791	43791	43791	38827		
2385	群光	20337	20533	20885	20973	25504		
2382	廣達	15147	15842	16797	16797	17837		
2891	中信金	134522	135109	135770	135770	139182		
5347	世界	48989	48989	48989	48989	54102		
6121	新普	9370	9370	9370	9370	9114		
3706	神達	79300	79300	79300	79300	76495		
1216	統一	50250	50250	50250	50250	46920		
1319	東陽	30137	30137	30137	30137	31000		
1504	東元	63671	63671	63671	63671	69273		
6239	力成	19273	19379	19746	19746	21072		
6414	樺漢	9647	9647	9647	9647	9308		
6147	頎邦	42315	42315	42315	42392	43279		
3264	欣銓	38367	38367	38367	38463	41738		
3596	智易	14544	14544	14544	14544	14837		
5388	中磊	20297	20297	20297	20297	19725		
2474	可成	12813	12813	12813	12813	12925		
3042	晶技	23450	23450	23450	23450	23674		
2352	佳世達	57024	57024	57024	57024	55482		
3702	大聯大	27503	27503	27503	27503	34808		
9921	巨大	11295	11295	11295	11295	10881		
5876	上海商銀	51177	51177	51177	51177	50172		
4915	致伸	27289	27365	27564	27564	28012		
3005	神基	17103	17532	17899	17930	21306		
6257	矽格	28992	29063	29297	29297	32438		
6285	啟碁	12730	12870	13108	13108	14163		
9904	寶成	49533	49533	49533	49533	46819		
3014	聯陽	9991	9991	9991	10020	10063		
1785	光洋科	28210	28210	28210	28210	27615		
8016	矽創	4672	4672	4746	4765	5306		
5469	瀚宇博	19932	20101	20405	20405	21903		
8150	南茂	23154	23283	23283	23342	25974		
6605	帝寶	5113	5153	5225	5243	6497		
6191	精成科	14322	14454	14693	14753	17729		
6176	瑞儀	5532	5657	5768	5768	6650		
2027	大成鋼	22525	22668	22929	22929	25752		
6146	耕興	3367	3388	3426	3436	3601		
1723	中碳	4638	4638	4638	4638	4549		
3704	合勤控	9749	9749	9749	9749	9282		
