代碼,股本,ROE%,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
1210,89.48,6.66,11.94,1.86,-7.28,-4.57,-2.66,,,,2024/09,
1216,568.20,9.07,27.09,4.05,8.41,-6.12,-3.75,,,,2024/09,
1217,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1229,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1301,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1303,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1304,118.88,-3.42,0.0,0.69,-8.17,-2.25,-66.19,,11/29法說會,,2024/09,
1305,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1307,39.78,7.75,16.61,1.98,10.13,-16.3,105.62,,,,2024/09,
1308,59.37,-2.00,0.0,0.8,-33.12,-18.37,-351.61,,11/27法說會,,2024/09,
1309,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1310,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1312,110.66,-2.06,0.0,0.41,-12.16,-20.33,7.35,,,,2024/09,
1313,136.77,-4.51,0.0,0.5,-27.88,-9.67,-121.31,,,,2024/09,
1314,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1316,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1319,59.15,8.72,16.1,2.53,0.69,2.06,80.39,,,,2024/09,
1326,586.12,0.93,20.53,0.69,-11.25,-6.34,562.32,,,,2024/09,
1402,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1409,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1416,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1436,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1438,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1440,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1442,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1449,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1453,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1454,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1455,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1456,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1463,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1477,24.67,21.65,19.06,5.76,17.53,-19.92,2.72,,,,2024/09,
1503,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1504,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1513,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1514,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1519,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1522,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1524,16.53,10.04,11.67,2.12,3.09,-1.53,119.95,,,,2024/09,
1527,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1528,19.13,-1.72,0.0,1.74,18.06,10.94,-263.28,,,,2024/09,
1529,15.51,1.57,136.75,2.37,-32.54,66.13,-77.87,,,,2024/09,
1530,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1532,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1536,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1539,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1540,8.55,8.75,19.62,2.39,9.12,-25.69,115.15,,,,2024/09,
1560,14.58,11.91,46.96,6.59,12.04,8.85,15.99,,9月營收6.38億元,,2024/09,
1569,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1570,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1582,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1584,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1597,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1603,19.17,2.82,13.95,0.83,-49.7,0.1,5.45,,,,2024/09,
1605,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1608,63.28,6.22,21.74,1.68,-0.23,-8.51,-1.9,,,,2024/09,
1609,77.37,7.98,21.59,2.26,11.1,-10.98,-44.31,,,,2024/09,
1611,32.27,2.41,29.91,1.22,-18.89,-17.19,34.89,,11/18法說會,,2024/09,
1612,31.61,6.23,14.11,1.44,3.61,-5.68,41.68,,,,2024/09,
1616,19.41,0.84,26.13,2.27,58.34,37.14,-80.18,,,,2024/09,
1617,16.95,2.74,113.61,1.43,12.84,-0.83,27.98,,,,2024/09,
1618,19.27,5.34,14.36,1.33,-42.16,-43.4,127.96,,,,2024/09,
1702,29.41,5.81,12.61,1.36,3.02,4.4,61.43,,,,2024/09,
1708,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1709,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1710,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1711,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1714,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1717,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1718,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1720,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1721,18.49,-5.92,0.0,1.97,12.27,24.37,10.24,,,,2024/09,
1722,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1727,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1737,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1776,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1783,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1784,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1785,59.62,6.11,29.43,2.83,23.45,11.04,33.43,,,,2024/09,
1789,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1795,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1799,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1802,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1806,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1808,99.23,14.77,6.14,1.46,-92.61,24.33,-6.67,,,,2024/09,
1809,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1815,51.58,-0.96,0.0,1.58,39.51,3.96,65.36,,,,2024/09,
1907,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
1909,132.77,0.60,225.83,0.81,-1.17,2.75,113.74,,,,2024/09,
2002,1573.49,0.81,103.18,1.12,-9.2,-9.62,101.41,,,,2024/09,
2006,73.02,10.74,11.92,1.77,-15.43,-14.15,-0.97,,9月營收45.42億元,,2024/09,
2009,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2014,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2020,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2025,28.12,-3.24,0.0,1.88,-76.78,9.05,-115.46,,,2024/11/06,2024/09,
2027,243.43,3.54,21.44,1.08,-14.06,-7.7,-39.79,,,,2024/09,
2031,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2049,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2059,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2061,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2062,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2070,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2101,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2103,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2104,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2107,0.00,0.00,0.0,0.0,0.0,0.0,0.0,,,,--,
2108,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2201,107.00,4.18,13.95,1.0,-1.92,0.95,-16.33,,,,2024/09,
2204,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2206,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2208,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2233,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2236,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2241,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2243,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2250,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2301,234.73,10.39,19.2,2.7,-15.96,-1.69,-20.03,,9月營收118.50億元,,2024/09,
2303,1252.78,10.62,11.26,1.59,-0.58,-8.25,-19.9,,9月營收189.43億元,,2024/09,
2308,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2312,150.41,3.59,29.52,1.67,21.74,34.7,192.04,,,,2024/09,
2313,119.18,5.36,14.05,1.85,-8.98,-7.73,123.9,,,,2024/09,
2314,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2316,0.00,0.00,0.0,0.0,0.0,0.0,0.0,,,,--,
2317,0.00,0.00,0.0,0.0,0.0,0.0,0.0,,,,--,
2323,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2324,440.71,4.10,17.78,1.24,-1.6,-0.41,35.32,,,,2024/09,
2327,51.88,7.16,14.35,1.59,10.09,0.95,29.06,,9月營收104.15億元,,2024/09,
2328,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2329,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2330,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2331,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2332,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2337,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2340,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2344,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2345,56.11,18.54,32.76,11.49,33.69,6.69,12.67,,,,2024/09,
2347,166.79,5.65,15.1,1.62,18.51,13.25,16.6,,,,2024/09,
2348,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2349,69.37,1.22,0.0,1.81,-16.98,-1.44,342.34,,,,2024/09,
2351,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2352,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2353,304.79,3.73,21.65,1.61,-6.25,15.28,32.84,,,,2024/09,
2354,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2355,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2356,358.75,4.79,24.31,2.66,18.36,8.12,28.77,,,,2024/09,
2357,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2359,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2360,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2362,63.23,2.88,22.26,0.79,-6.45,-1.51,102.94,,,,2024/09,
2363,48.72,2.69,93.13,2.22,229.26,715.91,-28.75,,9月營收1.77億元,,2024/09,
2364,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2365,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2367,70.94,8.06,35.57,1.9,22.41,-4.72,771.77,,,,2024/09,
2368,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2371,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2374,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2376,66.99,13.83,24.16,4.64,64.31,8.41,179.56,,,,2024/09,
2377,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2379,51.29,17.26,20.32,5.56,10.96,-3.75,70.81,,9月營收98.30億元,,2024/09,
