stockId,sortLabel,sortCode,nearBy,nearByAvg
0050,Tcde,2,ab,192.8
0051,T,42,abcde,80.62
0052,Tcde,2,ab,190.28
0053,Tcde,2,ab,103.5
0055,Tde,2,abc,29.18
0056,Tba,119,cde,38.47
0057,Tcde,2,ab,141.85
0061,bacde,2,,
006201,Tde,32,abc,24.13
006203,Tcde,2,ab,90.9
006204,Tcde,2,ab,115.18
006205,Tcde,2,ab,33.38
006206,Tcde,2,ab,31.73
006207,Tcde,2,ab,25.29
006208,Tcde,2,ab,113.0
00631L,Tcde,2,ab,242.41
00632R,edcT,115,ab,3.29
00633L,bacde,2,,
00634R,edcT,115,ab,4.03
00635U,Tcde,1,ab,31.6
00636,Tcde,2,ab,23.28
00636K,Tcde,2,ab,7.25
00637L,bacde,2,,
00638R,edcT,115,ab,8.43
00639,Tcde,2,ab,12.23
00640L,Tcba,120,de,52.12
00641R,eTab,115,cd,6.34
00642U,edcT,120,ab,16.36
00643,Tcde,1,ab,13.34
00645,T,34,abcde,36.71
00646,Tcde,2,ab,58.07
00647L,Tcde,2,ab,95.94
00648R,edcT,115,ab,5.26
00650L,Tcde,2,ab,12.9
00651R,edcT,120,ab,7.3
00652,Tbea,78,cd,39.59
00653L,cdTa,78,be,63.1
00654R,Tc,10,abde,6.4
00655L,bacde,2,,
00656R,edcT,115,ab,7.49
00657,T,2,abcde,44.98
00657K,T,2,abcde,14.05
00660,T,43,abcde,35.58
00661,T,2,abcde,49.04
00662,Tcde,1,ab,83.57
00663L,Tcde,2,ab,221.6
00664R,edcT,115,ab,3.72
00665L,Tcde,2,ab,8.68
00666R,edcT,120,ab,12.05
00668,Tde,2,abc,49.13
00668K,Tde,2,abc,15.31
00669R,edT,115,abc,6.69
00670L,Tcde,1,ab,126.77
00671R,edcT,120,ab,3.66
00673R,T,6,abcde,7.52
00674R,edcba,120,,
00675L,Tcde,2,ab,96.91
00676R,edcT,115,ab,2.07
00678,T,73,abcde,29.83
00679B,Tba,89,cde,30.29
00680L,Tba,89,cde,8.98
00681R,abT,26,cde,19.83
00682U,T,26,abcde,20.96
00683L,abT,26,cde,22.23
00684R,Tba,120,cde,15.54
00685L,Tcde,2,ab,86.46
00686R,edcT,115,ab,2.25
00687B,Tba,89,cde,31.56
00688L,Tba,89,cde,8.93
00690,Tcde,2,ab,35.19
00692,Tcde,2,ab,45.12
00693U,edcT,120,ab,20.06
00694B,T,78,abcde,41.54
00695B,T,88,abcde,35.83
00696B,Tba,89,cde,32.45
00697B,T,88,abcde,36.38
00700,Tcde,2,ab,15.16
00701,Tde,2,abc,29.14
00702,Tcde,2,ab,25.53
00703,Tcde,2,ab,17.62
00706L,Tba,120,cde,6.58
00708L,abcde,1,,
00709,T,73,abcde,29.86
00710B,T,43,abcde,19.53
00711B,T,88,abcde,16.62
00712,Tba,89,cde,9.8
00713,T,73,abcde,56.9
00714,Tde,2,abc,21.94
00715L,edcba,120,,
00717,Te,32,abcd,16.31
00718B,T,78,abcde,20.76
00719B,T,89,abcde,31.63
00720B,Ta,88,bcde,35.88
00722B,Ta,88,bcde,39.42
00723B,Tba,88,cde,34.63
00724B,Teba,88,cd,35.98
00725B,Tba,88,cde,38.19
00726B,T,88,abcde,34.52
00727B,T,78,abcde,40.25
00728,Tde,2,abc,32.62
00730,T,78,abcde,22.6
00731,T,119,abcde,73.62
00733,edcT,120,ab,54.02
00734B,T,88,abcde,15.9
00735,T,119,abcde,33.59
00736,Tde,2,abc,23.98
00737,baT,2,cde,30.38
00738U,Tcde,1,ab,29.81
00739,Tcde,2,ab,22.81
00740B,T,88,abcde,40.91
00741B,T,73,abcde,38.91
00746B,T,88,abcde,37.47
00749B,Tba,88,cde,32.77
00750B,Ta,88,bcde,36.05
00751B,Tba,88,cde,35.2
00752,Tcde,2,ab,21.53
00753L,bacde,2,,
00754B,T,88,abcde,37.24
00755B,T,78,abcde,35.35
00756B,T,88,abcde,33.44
00757,Tcde,1,ab,90.97
00758B,T,88,abcde,54.1
00759B,T,88,abcde,58.29
00760B,T,73,abcde,56.04
00761B,T,88,abcde,37.49
00762,Tcde,1,ab,64.26
00763U,T,2,abcde,26.39
00764B,Tba,89,cde,31.69
00768B,Teba,88,cd,56.88
00770,Tcde,1,ab,48.13
00771,Te,2,abcd,18.09
00772B,T,88,abcde,36.16
00773B,T,88,abcde,37.81
00775B,Ta,88,bcde,34.97
00777B,T,88,abcde,35.72
00778B,T,88,abcde,37.33
00779B,Tba,89,cde,31.85
00780B,T,73,abcde,38.11
00781B,Tba,89,cde,33.04
00782B,T,88,abcde,33.37
00783,abcT,1,de,18.04
00784B,T,78,abcde,38.59
00785B,T,78,abcde,36.74
00786B,T,88,abcde,34.83
00787B,Tba,88,cde,35.25
00788B,T,88,abcde,32.33
00789B,Tba,88,cde,53.5
00790B,T,78,abcde,56.61
00791B,T,78,abcde,56.64
00792B,T,88,abcde,34.47
00793B,T,88,abcde,33.45
00794B,T,33,abcde,41.76
00795B,Tba,89,cde,30.76
00799B,T,88,abcde,33.34
00830,Te,2,abcd,46.43
00834B,Tbea,78,cd,36.13
00836B,Tba,88,cde,31.55
00840B,T,88,abcde,32.66
00841B,T,88,abcde,32.33
00842B,Ta,88,bcde,34.05
00844B,T,78,abcde,33.92
00845B,T,73,abcde,33.91
00846B,T,43,abcde,36.58
00847B,T,88,abcde,28.21
00848B,T,88,abcde,35.79
00849B,T,78,abcde,37.43
00850,Tcde,2,ab,46.09
00851,Tcde,1,ab,47.19
00852L,bacde,2,,
00853B,T,88,abcde,29.82
00856B,T,89,abcde,38.62
00857B,Tba,89,cde,26.24
00858,baTe,2,cd,31.88
00859B,T,74,abcde,42.16
00860B,T,73,abcde,38.91
00861,Te,2,abcd,42.12
00862B,T,88,abcde,33.68
00863B,T,88,abcde,34.52
00864B,T,2,abcde,45.86
00865B,T,1,abcde,45.57
00867B,T,88,abcde,33.83
00870B,Ta,88,bcde,30.25
00875,Tcde,2,ab,33.96
00876,T,89,abcde,37.77
00877,Tcde,1,ab,13.01
00878,T,2,abcde,22.84
00881,Tcde,1,ab,24.51
00882,Tcde,2,ab,13.01
00883B,T,88,abcde,32.91
00884B,Tba,88,cde,31.59
00885,Ta,120,bcde,11.94
00886,Tcde,1,ab,34.15
00887,Tba,88,cde,10.82
00888,Te,32,abcd,16.93
00890B,T,88,abcde,34.9
00891,Te,2,abcd,18.32
00892,Tcde,2,ab,17.6
00893,Tcde,1,ab,23.44
00894,Tcde,2,ab,21.22
00895,Tcde,1,ab,29.63
00896,Te,2,abcd,17.81
00897,T,73,abcde,8.19
00898,T,78,abcde,7.35
00899,edcba,120,,
00900,Tcba,119,de,15.23
00901,Tcde,2,ab,21.41
00902,abcT,1,de,9.6
00903,abTe,1,cd,14.03
00904,Te,2,abcd,18.03
00905,Tde,2,abc,13.76
00907,T,78,abcde,15.85
00908,Tdae,43,bc,13.43
00909,abcde,1,,
00910,Tcde,2,ab,23.55
00911,T,119,abcde,26.56
00912,Te,32,abcd,19.14
00913,Tae,43,bcd,20.95
00915,Te,43,abcd,26.7
00916,Tcde,1,ab,23.3
00917,Tcde,1,ab,22.08
00918,T,74,abcde,24.09
00919,Tcba,120,de,24.19
00920,Tba,89,cde,14.69
00921,T,120,abcde,18.43
00922,Tde,32,abc,21.6
00923,Te,2,abcd,21.47
00924,Tcde,1,ab,23.47
00925,T,2,abcde,16.4
00926,Tcde,2,ab,22.96
00927,Tba,119,cde,18.96
00928,Ta,119,bcde,16.98
00929,Tcba,120,de,19.39
00930,Tcba,120,de,19.43
00931B,Tba,89,cde,15.12
00932,T,120,abcde,16.89
00933B,T,88,abcde,17.06
00934,T,79,abcde,19.17
