ema1,stockId,ema5,ema13,ema50,ema200
197.1,0050,195.847,193.855,191.8,176.287
77.1,0051,77.459,78.181,79.066,78.499
193.7,0052,192.443,190.668,188.678,172.637
104.1,0053,103.521,102.583,101.972,94.416
28.44,0055,28.603,28.541,28.66,27.54
36.48,0056,36.722,37.055,37.447,37.793
144.15,0057,143.69,142.477,141.127,129.918
19.42,0061,19.523,19.561,19.384,18.21
32.35,1101,32.732,33.094,32.982,33.174
42.2,1102,42.298,43.191,44.159,43.758
17.45,1103,17.651,17.86,17.868,18.041
27.8,1104,28.309,29.109,29.661,30.624
14.5,1108,14.559,14.551,14.658,15.281
18.2,1109,18.287,18.378,18.416,18.515
20.7,1110,20.962,21.178,21.427,21.07
17.95,1201,17.997,18.111,18.129,18.414
41.3,1203,41.296,42.62,44.803,48.127
51.8,1210,52.689,52.869,52.574,53.836
15.7,1213,13.866,12.63,12.313,10.406
96.5,1215,98.115,98.836,98.621,99.299
83.6,1216,84.592,85.542,86.042,82.564
11.75,1217,11.781,11.878,11.959,12.071
20.05,1218,20.315,20.672,20.645,21.31
15.85,1219,16.089,16.55,16.837,17.794
18.3,1220,18.47,17.75,17.23,16.12
61.4,1225,63.278,74.363,88.891,96.964
37.55,1227,37.565,37.673,37.887,38.721
55.0,1229,56.334,57.754,58.937,62.207
126.0,1231,128.651,124.139,119.213,108.223
145.0,1232,145.441,146.22,147.233,146.435
30.45,1233,30.845,31.403,31.845,32.962
41.25,1234,41.402,41.512,41.614,41.543
23.15,1236,23.191,23.221,23.339,23.681
52.0,1240,52.219,52.139,52.217,51.762
135.5,1256,137.071,137.75,142.176,177.788
64.5,1259,64.024,64.848,66.096,69.929
311.0,1264,308.301,305.848,307.215,306.723
149.5,1268,149.947,150.447,151.733,155.288
87.5,1294,84.966,88.595,95.212,112.959
36.8,1301,37.974,41.175,44.225,55.634
33.0,1303,34.087,37.409,39.786,47.971
11.1,1304,11.529,12.53,13.336,15.403
12.35,1305,12.636,13.677,14.658,17.124
37.5,1307,37.861,39.705,39.947,34.896
14.0,1308,14.571,15.759,16.466,18.421
15.05,1309,15.324,16.095,16.917,17.38
10.2,1310,10.407,11.072,11.614,12.893
10.7,1312,10.841,11.325,11.839,13.314
9.25,1313,9.74,10.428,10.862,12.164
7.7,1314,7.828,8.012,8.266,9.174
70.3,1315,70.351,70.423,70.536,71.091
13.95,1316,14.076,14.547,15.251,16.63
113.5,1319,112.797,112.787,110.322,102.927
32.9,1321,33.089,33.327,34.178,36.074
24.95,1323,25.179,25.448,25.828,28.307
12.4,1324,12.492,12.643,12.8,13.602
25.65,1325,26.214,27.087,27.458,28.652
29.55,1326,30.621,33.413,36.103,45.461
25.15,1336,25.794,26.258,25.743,23.624
6.7,1337,6.79,6.925,7.016,7.225
27.5,1338,27.96,29.027,29.998,32.846
54.8,1339,55.373,55.39,56.302,60.123
9.62,1340,9.682,9.854,10.001,10.336
67.3,1341,67.275,67.585,67.691,67.061
105.5,1342,106.153,103.15,100.97,105.894
32.2,1402,33.045,34.266,35.235,34.786
15.35,1409,15.546,15.713,15.76,16.083
36.25,1410,36.355,36.578,36.731,37.098
10.45,1413,10.906,10.707,10.359,9.898
24.1,1414,24.558,23.727,23.22,21.767
12.95,1416,13.112,13.099,13.067,12.63
9.93,1417,9.943,9.984,10.119,10.906
29.4,1418,29.011,29.01,29.996,30.519
45.2,1419,45.317,45.872,46.329,46.717
37.05,1423,37.381,37.599,38.862,37.99
20.0,1432,19.898,19.696,19.364,18.589
19.05,1434,19.333,19.825,20.037,21.576
120.5,1436,121.107,122.99,128.021,130.182
33.95,1437,34.13,34.285,34.467,34.164
52.0,1438,56.264,57.713,59.838,58.927
31.35,1439,31.467,31.244,31.137,29.48
14.9,1440,14.985,15.162,15.366,16.006
14.05,1441,14.067,14.337,14.781,14.56
76.6,1442,76.887,77.404,73.687,62.163
31.8,1443,31.93,32.501,32.733,31.664
9.11,1444,9.187,9.204,9.221,9.527
16.95,1445,16.915,17.09,17.535,19.009
42.1,1446,44.541,49.301,48.685,45.91
7.23,1447,7.363,7.643,7.923,8.447
22.8,1449,23.417,24.196,23.001,20.424
20.3,1451,20.503,20.68,20.528,20.157
15.75,1452,15.843,16.039,16.265,16.649
15.2,1453,15.312,15.658,16.54,18.795
15.55,1454,15.693,16.122,16.653,17.063
9.66,1455,9.66,9.917,10.26,11.422
15.6,1456,15.908,16.85,17.612,18.712
19.9,1457,19.876,19.796,19.811,20.074
9.64,1459,9.716,9.817,9.912,10.092
6.95,1460,6.997,7.089,7.149,7.459
24.95,1463,24.917,24.776,24.501,22.363
17.35,1464,16.862,16.455,15.945,14.671
14.5,1465,14.632,14.769,14.878,14.892
12.3,1466,12.833,13.497,13.42,12.917
10.4,1467,10.485,10.728,10.759,10.979
14.2,1468,14.215,14.42,14.441,14.306
21.05,1470,20.813,20.701,20.762,20.631
13.4,1471,13.827,14.448,14.254,14.593
65.4,1472,65.836,64.286,62.583,62.166
34.35,1473,34.778,35.635,36.19,35.84
12.8,1474,12.837,13.147,13.276,13.107
56.0,1475,56.548,58.205,59.518,58.93
517.0,1476,520.684,531.733,536.719,532.365
315.0,1477,312.883,318.484,332.563,358.265
190.0,1503,192.258,198.818,205.621,212.686
51.6,1504,51.711,51.728,51.032,50.301
12.95,1506,13.061,13.289,13.705,15.246
6.55,1512,6.648,6.929,7.143,8.42
150.0,1513,152.652,157.495,161.251,162.718
98.9,1514,101.034,107.238,112.05,114.111
30.0,1515,30.057,31.181,32.818,38.632
18.05,1516,17.906,17.843,18.296,19.452
14.5,1517,14.617,14.514,14.784,15.717
524.0,1519,530.444,557.082,583.149,609.875
30.5,1521,32.183,34.447,35.796,37.835
61.6,1522,62.427,63.095,62.972,59.357
38.25,1524,38.946,38.567,37.207,34.235
62.2,1525,63.434,64.858,66.209,70.268
24.55,1526,24.71,24.705,25.7,29.393
43.1,1527,43.403,43.431,43.761,43.534
15.15,1528,15.377,16.661,16.851,14.953
23.5,1529,23.658,24.97,26.38,30.039
29.85,1530,29.975,30.703,31.438,31.945
14.15,1531,14.333,15.35,15.345,14.647
31.5,1532,32.272,33.598,35.263,39.069
39.55,1533,39.725,41.315,42.028,44.886
62.4,1535,62.226,62.022,61.991,62.933
65.6,1536,63.153,61.836,60.811,60.227
157.0,1537,158.064,156.78,153.843,146.693
17.0,1538,17.487,17.612,17.731,17.487
22.2,1539,22.483,24.099,25.559,25.864
37.55,1540,36.861,37.899,39.13,33.089
27.4,1541,27.398,27.81,28.933,31.024
103.0,1558,103.161,104.067,105.579,105.545
294.0,1560,294.863,301.869,309.37,287.916
54.1,1563,55.697,57.847,58.952,68.452
199.5,1565,201.874,215.25,214.22,200.6
26.9,1568,27.329,27.831,28.145,28.839
58.7,1569,61.061,59.517,51.634,36.011
28.75,1570,28.61,28.351,28.61,28.459
144.5,1580,145.036,145.746,146.437,147.613
90.0,1582,90.373,92.873,96.516,96.584
60.3,1583,59.833,60.036,60.799,64.617
28.35,1584,28.875,30.685,32.31,34.171
27.65,1586,27.952,29.325,30.347,31.584
33.8,1587,34.772,38.258,40.845,43.346
37.7,1589,37.894,39.024,39.905,44.302
846.0,1590,838.683,835.679,853.21,925.218
54.9,1591,54.547,53.139,51.959,53.528
37.95,1593,37.87,37.789,38.454,43.507
52.0,1595,54.705,55.636,54.945,46.351
98.7,1597,93.25,91.808,92.983,86.339
27.15,1598,27.446,27.921,28.087,29.944
31.4,1599,31.418,31.72,32.007,32.914
35.65,1603,36.321,36.981,37.192,38.768
28.25,1604,28.238,28.293,28.314,28.415
24.4,1605,25.022,26.475,28.394,33.062
26.15,1608,26.396,27.865,29.227,30.491
42.25,1609,43.008,44.582,46.051,46.898
16.1,1611,16.266,16.755,16.917,17.28
34.2,1612,34.545,34.747,34.646,33.738
38.55,1614,38.834,39.237,39.633,40.386
56.2,1615,56.942,58.117,59.366,59.308
19.8,1616,19.965,21.117,21.462,20.537
17.15,1617,17.286,18.115,19.128,20.408
42.5,1618,43.074,44.734,44.928,43.956
14.25,1626,14.258,14.563,14.968,15.729
50.1,1702,50.9,52.484,53.617,54.846
152.0,1707,152.887,154.091,152.487,152.076
36.9,1708,37.559,39.774,40.086,37.372
20.8,1709,21.065,21.598,22.137,22.255
14.5,1710,14.786,15.741,16.525,17.601
21.65,1711,21.808,22.593,23.216,22.175
43.35,1712,43.818,44.321,43.961,42.384
47.05,1713,46.975,47.617,49.152,49.445
8.12,1714,8.201,8.363,8.508,8.926
27.85,1717,28.331,29.314,30.067,30.624
7.65,1718,7.764,7.972,8.019,8.042
62.2,1720,62.894,63.751,64.222,65.798
16.95,1721,17.092,18.055,18.845,17.506
52.9,1722,53.837,55.159,56.281,59.798
92.4,1723,93.821,95.805,97.086,103.266
37.05,1725,37.76,39.593,40.251,38.412
75.4,1726,75.619,76.182,76.877,77.732
30.0,1727,30.365,32.89,34.379,33.045
53.6,1730,53.724,53.665,53.588,54.692
22.95,1731,23.028,23.106,23.243,23.556
27.3,1732,27.459,27.832,28.021,28.386
28.5,1733,28.011,28.297,28.734,30.317
28.65,1734,29.265,30.288,31.114,33.542
20.2,1735,20.256,20.368,21.003,19.915
179.0,1736,187.942,175.262,161.43,122.868
32.2,1737,32.319,32.464,32.944,33.709
16.65,1742,16.779,17.163,17.409,17.437
40.8,1752,41.404,42.557,43.231,46.658
82.3,1760,83.744,86.92,88.321,95.773
33.9,1762,34.599,37.167,39.375,45.984
160.5,1773,160.087,164.102,165.823,160.78
18.1,1776,18.362,18.848,19.467,19.079
93.4,1777,94.326,96.212,96.18,92.787
17.4,1781,17.468,17.576,17.278,16.769
47.3,1783,47.378,45.691,44.564,45.13
83.4,1784,87.003,92.066,94.634,91.409
64.1,1785,65.449,64.311,63.753,57.925
91.3,1786,91.018,93.8,100.167,104.661
139.0,1788,139.184,139.09,138.947,138.953
21.9,1789,22.282,23.093,23.687,25.4
259.0,1795,262.591,272.863,273.063,276.209
46.95,1796,47.522,48.755,49.154,56.351
55.4,1799,56.092,65.223,84.731,101.346
17.9,1802,18.33,19.032,18.745,18.166
17.3,1805,17.552,17.919,18.535,18.623
10.25,1806,10.352,10.394,10.651,11.005
37.35,1808,38.45,40.962,50.863,82.167
19.75,1809,20.056,20.735,21.037,21.579
15.7,1810,16.301,17.017,17.399,18.091
18.75,1813,18.788,19.091,19.288,19.84
28.45,1815,28.347,27.364,25.648,22.523
41.25,1817,41.794,42.576,42.266,40.468
52.2,1903,52.645,53.688,54.464,56.287
19.5,1904,19.96,21.293,22.463,25.555
16.8,1905,17.131,17.795,18.378,20.185
14.4,1906,14.533,14.845,15.01,15.361
29.7,1907,30.04,30.478,30.668,30.635
11.45,1909,11.785,12.313,12.757,13.698
20.0,2002,20.347,21.225,21.757,23.1
68.6,2006,69.771,71.303,72.869,72.543
9.77,2007,9.851,10.065,10.297,10.734
30.3,2008,30.548,31.162,31.298,28.336
37.3,2009,37.906,39.174,40.357,41.314
18.45,2010,18.505,18.469,18.418,18.538
25.6,2012,25.779,25.779,25.728,25.169
51.3,2013,51.579,52.456,52.927,54.632
18.0,2014,18.504,19.422,19.877,21.029
72.5,2015,73.256,75.292,77.73,76.67
10.9,2017,11.047,11.431,11.82,13.132
27.8,2020,28.092,28.578,28.735,30.821
8.83,2022,9.069,9.303,9.54,10.326
15.15,2023,15.195,15.221,15.243,15.38
19.05,2024,19.373,19.943,20.402,21.028
10.8,2025,10.803,10.893,11.044,10.817
30.4,2027,31.57,33.105,33.618,35.527
20.7,2028,21.256,22.195,22.903,24.341
24.3,2029,24.594,24.914,25.239,26.139
17.05,2030,17.089,17.523,17.776,18.121
45.25,2031,46.457,49.132,51.826,55.681
14.1,2032,14.295,14.733,15.025,15.884
23.7,2033,24.291,23.787,23.207,19.56
20.35,2034,20.454,20.488,21.146,23.497
31.6,2035,32.028,32.491,32.577,32.504
16.05,2038,16.25,16.937,17.47,18.527
270.5,2049,255.037,243.606,236.55,225.959
1545.0,2059,1532.695,1481.965,1387.359,1212.181
19.1,2061,19.514,19.723,20.612,21.437
35.15,2062,34.156,33.889,34.394,32.301
32.45,2063,32.582,33.636,35.938,43.763
14.7,2064,14.829,14.99,15.176,15.425
49.8,2065,49.641,50.361,52.832,57.866
90.8,2066,94.059,101.93,105.234,109.742
11.05,2067,11.069,11.045,10.967,11.458
16.45,2069,16.562,17.446,17.698,17.344
74.3,2070,74.823,79.301,81.765,66.404
47.6,2101,48.146,48.69,48.866,48.632
19.05,2102,19.725,20.947,21.407,20.967
20.95,2103,21.403,22.462,23.011,23.482
13.5,2104,13.953,14.811,15.214,16.556
49.45,2105,50.173,50.331,49.693,48.333
27.15,2106,27.543,28.487,29.199,30.719
25.85,2107,25.973,25.884,25.842,25.549
31.6,2108,32.119,33.454,34.62,36.118
18.2,2109,18.18,18.13,18.257,17.867
95.0,2114,94.953,94.975,95.337,99.379
30.8,2115,30.765,30.924,31.081,31.162
50.7,2201,51.881,54.593,55.764,61.536
75.5,2204,77.706,79.599,78.66,92.216
68.9,2206,69.142,69.993,70.857,72.989
610.0,2207,611.303,620.35,630.997,641.284
15.5,2208,15.714,16.376,16.838,17.891
109.5,2211,106.301,103.265,105.988,112.495
29.2,2221,29.304,29.133,29.102,30.837
77.0,2227,79.392,87.898,96.931,124.327
100.0,2228,101.077,103.588,105.944,104.423
119.0,2230,135.065,150.414,156.642,156.359
102.5,2231,103.166,103.461,103.01,111.462
190.5,2233,182.151,176.727,170.036,150.799
46.2,2235,46.963,47.786,48.259,48.286
124.5,2236,125.729,124.131,120.05,100.537
37.45,2239,37.451,38.864,40.805,48.248
27.1,2241,27.857,29.612,30.918,34.366
16.6,2243,16.939,18.317,20.066,20.682
296.5,2247,297.158,293.242,292.309,297.068
93.9,2250,91.338,91.843,93.428,95.046
81.9,2254,82.215,82.839,82.821,84.201
40.45,2258,40.308,40.861,41.601,43.474
99.8,2301,101.495,103.344,103.535,104.795
18.15,2302,18.474,18.817,18.506,18.072
42.55,2303,42.344,43.957,46.333,50.044
14.6,2305,15.023,16.329,17.557,20.522
419.5,2308,418.211,403.185,397.092,371.898
27.25,2312,27.173,28.018,26.943,22.192
70.2,2313,67.551,64.47,65.073,68.578
31.7,2314,31.353,31.025,30.78,31.748
47.7,2316,48.413,50.472,50.968,47.774
183.0,2317,185.885,195.212,197.974,178.332
10.8,2323,10.923,11.323,11.631,11.947
37.05,2324,37.589,37.693,36.831,35.03
527.0,2327,524.786,533.435,557.649,602.712
38.85,2328,38.159,37.906,37.424,36.528
34.4,2329,34.817,35.983,37.582,45.232
1075.0,2330,1070.811,1052.914,1035.659,918.07
21.7,2331,22.114,23.245,23.976,26.959
21.35,2332,21.225,21.145,20.556,19.401
20.5,2337,20.674,21.47,22.72,25.843
50.1,2338,50.883,53.133,55.394,63.287
28.15,2340,28.802,30.563,32.495,37.107
32.3,2342,33.057,33.976,33.661,33.158
14.9,2344,14.995,16.254,17.847,21.98
740.0,2345,732.327,685.955,634.602,548.393
71.4,2347,72.307,73.665,73.448,73.203
186.0,2348,184.135,176.672,178.067,182.49
14.2,2349,14.344,14.926,15.124,13.28
94.9,2351,95.703,100.44,108.948,117.739
35.0,2352,35.692,36.653,36.856,38.341
36.45,2353,37.192,38.192,39.3,41.854
