代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
1440,165.7,-0.2,0.8,-11.1,-16.0,21.1,2025/07/16,7/16除息0.30元,,2025/04,,17.2
1442,36.6,5.4,3.2,-78.1,-44.3,-9.2,,,2025/06/19,2025/04,,24.6
1449,10.3,0.9,0.7,-11.5,2.6,-59.9,,,2025/06/19,2025/04,,18.9
1453,11.0,-0.9,1.1,9.7,0.0,-178.5,,,2025/06/13,2025/04,,12.9
1454,13.0,-0.5,1.2,-19.3,-25.5,-142.3,,,2025/06/23,2025/05,,12.5
1455,53.2,-1.9,0.8,-41.3,-7.0,-259.6,,5月營收5.71億元,2025/06/10,2025/05,,11.6
1456,9.4,-2.8,0.8,-32.8,-20.5,-4.2,,,,2025/04,,16.7
1463,17.3,3.5,1.2,-23.6,-38.6,615.6,,,,2025/04,,17.7
1477,24.7,9.0,4.6,-8.2,5.3,13.8,,,,2025/05,,54.6
1503,52.1,3.3,2.4,-13.0,-17.8,3.1,,,2025/06/13,2025/04,,71.2
1504,213.9,1.5,1.5,3.7,-0.2,-6.5,2025/06/19,6/19除息2.20元,,2025/04,,34.3
1513,50.3,4.5,4.0,12.1,5.9,-8.0,,5月營收23.09億元,,2025/05,,39.1
1514,26.8,2.7,4.9,1.6,-20.4,-27.8,,,2025/06/11,2025/04,,22.7
1519,28.7,10.8,19.6,44.2,7.3,43.5,,,2025/06/13,2025/04,,24.2
1522,31.3,4.2,1.5,-16.9,-15.4,-31.1,,,2025/06/19,2025/04,,31.2
1524,16.5,5.4,1.8,1.6,-24.9,-4.4,,,2025/06/17,2025/04,,17.3
1527,13.9,2.6,1.0,5.2,-4.5,-15.6,,,2025/06/18,2025/04,,36.2
1528,19.1,0.4,1.1,-32.4,12.5,119.6,,,,2025/04,,11.8
1529,15.5,0.4,2.6,78.5,19.4,141.0,,,,2025/04,,10.9
1530,9.7,-9.2,0.9,-26.6,-27.3,-2308.0,2025/07/02,7/2除息1.50元,,2025/04,,34.4
1532,42.3,-0.6,0.7,-52.8,-4.0,-119.0,,,2025/06/17,2025/04,,35.1
1536,28.0,-1.2,1.9,-9.9,6.0,-216.4,,,2025/06/10,2025/04,,31.2
1539,6.5,1.0,0.7,-1.4,-1.3,-60.8,,5月營收1.24億元,2025/06/17,2025/05,,25.3
1540,8.6,2.8,1.6,11.8,-2.0,-24.6,,,2025/06/27,2025/04,,18.2
1560,14.6,3.9,6.0,14.7,0.8,7.1,,,2025/06/19,2025/05,,47.3
1569,12.1,-4.8,2.2,7.6,-10.8,-1404.8,,,2025/06/19,2025/04,,22.7
1570,5.2,2.2,1.2,-38.5,26.9,200.4,,,2025/06/24,2025/04,,20.0
1582,14.4,2.0,1.4,-6.6,5.1,-34.2,2025/06/16,6/16除息5.50元,,2025/04,,55.4
1584,23.2,1.2,1.2,-15.0,1.8,9.4,2025/06/12,6/12除息0.70元,,2025/04,,21.6
1597,8.9,0.6,3.2,20.9,3.5,-61.9,,,,2025/04,,27.0
1603,19.2,1.9,0.9,69.6,-10.8,29.8,,,2025/06/25,2025/04,,44.2
1605,443.1,0.4,0.6,0.2,-11.0,-16.4,,5月營收157.10億元,,2025/05,,33.8
1608,63.3,1.7,1.3,-7.0,-14.6,-47.9,,,2025/06/18,2025/04,,18.7
1609,77.4,0.1,1.9,8.5,4.4,-94.4,,,,2025/04,,20.4
1611,32.3,0.9,0.9,-9.4,-3.9,-31.9,,,,2025/05,,13.9
1612,31.6,2.6,1.6,61.2,15.6,1.9,,5月營收7.66億元,2025/06/18,2025/05,,22.6
1616,19.4,5.0,2.3,41.3,24.0,317.0,,5月營收5.02億元,2025/06/16,2025/05,,12.2
1617,17.0,-0.9,1.3,6.1,13.6,-220.9,,,2025/06/19,2025/04,,13.2
1618,19.3,4.0,1.6,225.1,47.4,98.4,2025/08/18,8/18除息1.50元,,2025/04,,30.1
1702,29.4,1.4,0.9,1.4,-1.1,-50.8,,,,2025/04,,47.0
1708,24.9,3.6,1.1,-19.0,-7.3,27.0,,5月營收4.55億元,,2025/05,,28.4
1709,47.7,2.1,1.0,-32.1,-18.3,4.3,,,2025/06/16,2025/04,,18.3
1710,88.6,-1.0,1.0,3.4,0.1,-168.5,,,,2025/04,,12.3
1711,54.8,0.4,1.1,-16.8,-10.2,17.6,2025/06/19,5月營收6.57億元,,2025/05,,15.2
1714,101.7,0.8,0.6,11.0,1.5,-59.2,,5月營收18.82億元,,2025/05,,12.6
1717,117.8,1.3,1.1,-5.2,0.8,-20.6,,,2025/06/25,2025/04,,23.4
1718,168.6,1.9,0.4,15.2,4.8,2.9,,,2025/06/11,2025/04,,15.9
1720,17.9,3.2,1.8,8.6,17.6,-19.2,,,,2025/04,,31.4
1721,18.5,-2.3,1.2,-44.1,-20.6,46.0,,5月營收1.13億元,2025/06/11,2025/05,,10.2
1722,98.0,0.2,0.9,-1.6,-13.8,-68.8,,5月營收9.72億元,2025/06/10,2025/05,,57.0
1727,12.5,-0.3,1.4,12.9,10.2,-961.7,,,,2025/04,,15.9
1737,20.0,1.3,1.0,8.2,23.5,3.2,,5月營收3.16億元,2025/06/26,2025/05,,33.8
1776,6.0,0.6,1.2,-9.6,-16.4,-59.2,2025/06/13,6/13除息0.80元,,2025/04,,15.5
1783,9.0,3.3,2.7,18.6,45.6,65.7,,5月營收0.77億元,2025/06/11,2025/05,,16.4
1784,5.3,0.1,2.8,1.5,-7.5,-86.2,,,2025/06/20,2025/04,,24.8
1785,59.6,2.5,2.5,47.1,23.2,-17.1,,,2025/06/12,2025/04,,24.6
1789,79.1,0.4,1.2,0.1,-28.0,-67.1,2025/07/03,7/3除息0.35元,,2025/04,,13.5
1795,26.6,6.8,2.9,23.9,61.7,38.5,,,2025/06/26,2025/04,,79.9
1799,12.5,-0.2,9.7,5.6,-66.1,98.0,,,2025/06/26,2025/04,,5.9
1802,290.8,-0.8,1.0,0.2,3.8,-40.3,,,2025/06/11,2025/04,,16.7
1806,39.0,0.3,0.8,7.4,2.2,70.5,,,2025/06/16,2025/04,,14.4
1808,99.2,-1.1,2.5,-99.9,-94.1,-144.4,,5月營收0.02億元,2025/06/17,2025/05,,12.5
1809,16.7,0.1,0.9,42.6,8.5,-71.8,,,2025/06/19,2025/04,,17.8
1815,52.0,2.2,2.6,50.2,-6.4,379.6,,4月營收4.79億元,2025/06/13,2025/04,,15.3
1907,166.0,-0.2,0.7,-3.0,-6.2,-126.8,,,2025/06/20,2025/04,,38.6
1909,132.8,-0.7,0.5,-10.4,-4.2,-2636.6,,5月營收38.97億元,,2025/05,,15.9
2006,73.0,3.4,1.5,0.2,-6.9,-0.6,,5月營收51.83億元，6/17法說會,,2025/05,2025/06/17,42.3
2014,143.6,-1.5,1.5,-18.1,0.9,-452.6,,,2025/06/25,2025/04,,10.0
2020,26.7,3.4,1.6,-5.4,-4.8,-59.0,2025/06/11,6/11除息2.20元,,2025/04,,17.7
2025,17.3,1.5,1.8,44.5,32.7,129.2,,,,2025/04,,8.6
2027,243.4,2.3,1.1,7.2,-0.9,29.2,,,2025/06/11,2025/04,,32.7
2031,32.1,-2.9,1.3,49.4,7.1,-144.3,2025/06/19,6/19除息2.50元,,2025/04,,32.4
2049,35.4,1.2,2.1,-6.1,-5.6,26.8,,5月營收19.35億元,,2025/05,,103.0
2059,9.5,11.1,8.5,60.5,-3.8,81.1,,5月營收13.94億元,2025/06/27,2025/05,,249.9
