time	stockId	中文名稱
20240607_1435	4571	鈞興-KY
20240607_1309	2371	大同
20240607_1305	1603	華電
20240607_1249	6207	雷科
20240607_1223	6140	訊達
20240607_1209	9105	泰金寶-DR
20240607_1153	2506	太設
20240607_1149	2009	第一銅
20240607_1147	8089	康全電訊
20240607_1139	1616	億泰
20240607_1139	1612	宏泰
20240607_1129	3374	精材
20240607_1129	2498	宏達電
20240607_1125	1503	士電
20240607_1123	9945	潤泰新
20240607_1109	2025	千興
20240607_1105	8103	瀚荃
20240607_1105	3665	貿聯-KY
20240607_1059	2406	國碩
20240607_1043	2548	華固
20240607_1033	4303	信立
20240607_1033	1455	集盛
20240607_1019	2501	國建
20240607_1013	6442	光聖
20240607_1011	4513	福裕
20240607_1009	3056	富華新
20240607_1009	1609	大亞
20240607_0959	9958	世紀鋼
20240607_0959	8064	東捷
20240607_0959	5519	隆大
20240607_0959	5493	三聯
20240607_0959	4967	十銓
20240607_0959	4956	光鋐
20240607_0959	4714	永捷
20240607_0959	4113	聯上
20240607_0959	3455	由田
20240607_0959	3122	笙泉
20240607_0959	3059	華晶科
20240607_0959	3047	訊舟
20240607_0959	2543	皇昌
20240607_0959	2537	聯上發
20240607_0959	2515	中工
20240607_0959	2486	一詮
20240607_0959	2351	順德
20240607_0959	1618	合機
20240607_0959	1608	華榮
20240607_0959	1532	勤美
20240607_0959	1514	亞力
20240607_0959	1513	中興電
20240607_0959	1473	台南
20240607_0959	1316	上曜
